,NrSal,RS,SalN,SupL,Apa,Gaz,Pensia,Paturi,RataAb,AbsUniv,Volume,Cinema,PIB,Cerc,ProdVeg,ProdAn,Telefonie,Internet,Cazare,ExecB,RataC
bh,1.0116020413098918,-0.9797222852680398,-0.9890195388058273,0.2958410393155171,-0.2509399549715137,-1.1272359070292157,0.03376691313052313,0.7635831517335616,-1.0010623281742654,0.28256344620225127,0.703543644829788,-0.111616707983708,0.33724777463729616,-0.3442400918581896,0.8213876988110149,0.6980441167617644,0.8768804955674272,3.461020778814156,0.7319318022858121,0.4650195042594966,-0.4714664732590449
bn,-0.31127743723179346,-1.1319356119557993,-0.5901977750037729,0.11253805605153096,-0.2378410430337227,0.15277859283387696,-1.1143081333072633,-0.6335099912897899,0.18159705342473287,-0.5986669437423308,0.500856891689212,0.10312727816299391,-0.2102594591318638,-0.41473048851938255,-0.3566488540270013,0.8513836544063043,0.11122310420301626,0.011732273826488622,0.020427172133256323,-0.43004432116517155,-0.25875406051912425
cj,1.1034666038602823,-1.0304600608306265,0.8560789508718085,0.43331827676350637,1.5066533361099856,1.9348714898318287,1.164958503003048,2.643080653558698,-0.7858380482106597,2.0857623706387316,0.03757288451075271,1.7319401542191104,1.3392864862356328,1.7679542938111275,-0.9926221696358193,-0.265328195831106,1.2812164213441386,-0.23464547652977333,0.3432629028964267,0.6598275133225127,0.7854705111132135
mm,-0.44378871870642483,-0.6245578563299341,-0.9539582848452071,-0.46355703420671296,-0.21819267512703563,0.31260977808096047,0.3376691313052313,0.28117879293177656,-0.21997864982871215,-0.26525739231560935,0.21130438720267497,-0.08730606804257193,-0.5113809396600679,-0.5582287960082396,-0.514750631552184,-0.31533021897606467,0.2144578086566447,-0.23464547652977333,0.13014911984361488,-0.7038285501185995,0.9788454317858687
sm,-0.04193709095358202,-0.9797222852680398,-0.8838357769239668,0.6624470058434905,-0.6308084011674622,0.5270416787851214,-0.7259886323062473,-0.5270051328530322,-0.28540014148806825,-0.6458374269023814,0.7759317709514223,-0.6505025600122242,-0.374616601890286,-0.6538943343341442,0.04752110355617279,-0.005317675477320929,-0.0006144922884145598,0.011732273826488622,-0.5716493380114862,-0.16415771420078482,1.0175204159203997
sj,-0.23117511202578034,0.28872210379662316,-0.6822335666504009,0.6951796814263457,-0.48391346015080233,-0.028272415920388764,-0.6246878929146779,0.1746739344950188,-0.9892932930328836,-0.7069446437233561,1.3550367799244964,-0.6505025600122242,-0.1643714247485817,-0.7445248443271066,0.7334212962782064,0.06468515692562121,-0.1640694410066596,0.5044877745390125,-0.706691735193466,0.6335021066923754,-0.4521289811917794
ab,0.48498136425846344,1.1005265127980073,-0.30970774331881173,0.001246959069823731,1.5370615245370007,1.752455463191136,0.2363683919136619,0.47539353478704066,-0.9151062810425831,-0.15483557946367266,1.4563801564947845,-0.2777394142481378,0.6425681602724673,-0.34675760602466077,0.1640171501536759,2.314776198448761,0.4123243255260992,0.2581100241827506,-0.40495637898997994,0.1096265147526431,0.2053457490952481
bv,1.0389976320866696,-0.32013120295441516,0.27318560377649836,0.13872419651781417,1.132398709315948,2.0913521766304095,2.448101201962927,0.024314134349007886,1.0181200325293531,1.5047077826217445,-1.0482490073137614,-0.362826654042114,0.9930267758075335,0.879271793046802,-1.3314116929040682,-0.792016172958004,0.7306313309247869,0.7508655248952745,2.402237452430424,0.5729536714430595,-0.6068289177299035
cv,0.22710547716401228,1.1512642883605941,-1.256361600255556,0.001246959069823731,-0.18123503073112446,0.31571209145920354,0.3039022181747082,1.9100766278468948,0.16076006458875833,-0.5064700902931409,1.181305277232574,-0.6505025600122242,-0.1849160675933845,-0.636271735168846,1.0139627962477038,0.671376371084453,-0.24149546934688093,1.7363765263203221,0.5757890305441481,-0.2431339340911967,-0.8002038384025587
hr,-0.10968162249398347,0.7960998594224884,-1.1161165844130754,0.5511559088617843,-0.19386612438542303,-0.3038819364435035,0.2363683919136619,0.5129834848235434,-0.7300753486188359,-0.5568567427595587,1.4419025312704574,-0.6505025600122242,-0.14502646907719807,-0.6891395326647408,-0.2948346252201629,-0.22532657731513908,-0.15546654896885723,-0.23464547652977333,0.12339699998451589,0.0833011081225058,1.1335453683239929
ms,0.17722763526063978,-0.11718010070406891,-0.30094242982865665,0.020886564419537318,-0.377718709797994,1.899877394925247,0.0,0.8324980601338166,-0.3431050536475189,-0.1194577170936347,1.2536934033542084,-0.09946138801313997,-0.1303303012028136,-0.23346946853345785,0.2103778217588047,-0.2619947276214421,0.4209272175639016,0.7508655248952745,0.1512494944032992,0.412368690999222,0.22468324116251362
sb,1.144857768186066,-0.9289845097054533,0.3608387386780488,0.9635876212057546,2.3566791572159436,2.416102341064895,0.894823197958863,0.47539353478704066,2.2150295421784763,1.3857095182861623,0.6745883943811343,-0.4236032538949542,0.6293716013648567,0.00821189144777502,-1.0805885721686277,0.054684752296629474,1.3758482337599647,0.9972432752515364,0.4610029929394653,0.6229719440403204,0.08932079669165502
bc,-0.6488089822913321,0.18724655267145005,0.47478781405006426,-0.9283610274832508,-0.6504567690741491,-0.14206527063434476,0.2870187616094466,-0.7838697914358008,1.1921496436618244,-0.3445895685393308,-0.584965000135302,-0.026529468189731772,-0.509881330693294,-0.3618626910234879,-1.0912871886928883,-0.5486729936525384,-0.00921738432621693,0.011732273826488622,-0.5433748361015092,-0.6511777368583248,0.7467955269786826
bt,-1.3304231919439866,-0.6752956318925207,-0.818095925747804,-1.5699214689072027,-1.2225985297855342,-0.6834810014053262,-1.2831426989598789,-0.12604566579700302,0.1441709871462064,-0.7015843615460776,1.181305277232574,-0.2007557211012069,-0.9914057699244013,-0.6463417918347308,0.7892918492382335,1.3747381633235383,-0.7232574234638137,-0.7274009772422972,-0.8527063271464815,-0.980245319735041,0.6307705745750894
is,-0.20616174653393982,0.23798432823403684,0.45287453032467667,-1.8186898033368992,0.4372207400460227,-0.19927192932914706,0.3039022181747082,1.3650223523176053,-0.2716491026324921,1.562598830136352,-0.9903385064164539,1.1039152890730952,-0.3758162890637051,1.8434797188052627,-0.4267842290193756,-0.9286883695542244,-0.1640694410066596,-0.9737787275985591,-0.6218682294635349,-0.6064245455870915,-0.6261664097971691
nt,-0.9092159837510291,-0.4216067540795883,-0.8005652987674939,-0.7516045793358342,-0.9185166455153785,-0.36543183386784617,-0.13506765252209252,-0.7525448330720486,-0.1931463613206428,-0.6876476278851535,-0.4112334974433798,-0.1804968544835935,-0.7961566824504362,-0.5481587393423549,-0.8036132777072174,-0.13532293565421347,-0.06943762859083352,0.2581100241827506,-0.037809861651472446,-0.9486548317788763,1.2108953365930548
sv,-1.0284761370781974,-0.32013120295441516,-0.5463712075529977,-0.42427782350728693,-0.927405192901737,-0.8769412636725643,-0.658454806045201,-0.8026647664540522,-1.0256574884526373,-0.16555614381822964,-0.22302436952713064,-0.6505025600122242,-0.6841358926324241,-0.23346946853345785,-0.19498087099373165,0.5247037698592409,-0.5856111508589757,-0.7274009772422972,0.18627611617237522,-0.6538102775213386,-0.04604164777920358
vs,-1.1712607650941202,2.6733975552381892,-0.7830346717871838,-1.3997115558763582,-1.1295026913705173,-0.573410922745262,-1.1480750464377865,-0.2137555492155094,0.13702342762618627,-0.7294578288679257,0.47190164124055833,-0.6505025600122242,-1.303474395910055,-0.5884389660058937,-0.0654087375332435,-0.07865397608992698,-0.8350950199552445,-0.7274009772422972,-0.8514403046729004,-0.3510681012747596,1.7716826065437548
br,-0.05548599726166231,-0.26939342739182837,-0.36229962425974194,-0.7777907198021187,0.10039157593138902,0.0075903267321011875,-0.08441728282630782,-0.12604566579700302,-0.30029433784708365,-0.5086142031640523,-1.0337713820894345,-0.2574805476305244,-0.3981604626686366,-0.5859214518394226,0.8451624021982604,1.5880801287420288,-0.29311282157369517,-0.9737787275985591,-0.36908574223851653,-0.5195507037076383,1.1335453683239929
bz,-0.506024354275409,0.3901976549217963,-0.42803947543590476,-0.24752137535987162,-0.5573609306591323,-0.01573906987228668,-0.776639002002032,-0.23881551590651123,0.03774100798202941,-0.7058725872879004,-0.6718307514812631,-0.3142053741598419,-0.6314996178986593,-0.6992095893306255,0.07723948279022971,0.19802388531217766,-0.41355331010292834,-0.7274009772422972,-0.34925139015241324,-0.5958943829350365,-0.510141457393576
ct,0.8317440322971337,-0.9797222852680398,0.6983033080490177,-0.5093827800227098,1.2811649234665776,-0.891460090282742,0.40520295756627756,-0.08219072408774984,1.6550186328123355,0.5205599748734158,-0.7731741280515511,5.038187186213615,0.8268701022889826,-0.1982242702028614,0.27456952090436765,-1.4987114334067533,0.32629540514807553,-0.48102322688603527,4.667995672649329,0.4018385283471671,-0.35544152085545183
gl,-0.06218600587554817,0.8468376349850747,0.2600376335412658,-0.8105233953849728,-0.24672959042008097,-0.6599034197306789,0.8779397413936014,-0.3515853660160194,-1.2909944244670863,0.19572687493033988,-0.35332299654607235,-0.5492082269241572,-0.4567951732694971,0.3531113322543262,0.10695786202428663,-1.4053743235361638,-0.13826076489325248,-0.9737787275985591,-0.8438441698314141,-0.6564428181843524,1.5202952096693032
tl,-0.42800647619371596,-0.26939342739182837,-0.3754475944949745,0.3089341095486587,0.324476533724319,-1.3446460285764903,-0.658454806045201,-0.6397749829625403,1.2123043666633955,-0.7294578288679257,1.4708577817191113,0.030195358339585712,-0.608855522500373,-0.08997116104460082,1.207726628853755,0.08468596618360467,-0.7232574234638137,-0.7274009772422972,-0.12685344229334036,-0.24050139342818297,0.36004568563337225
vn,-0.8968581900854173,-0.26939342739182837,-0.717294820611021,0.3678529255977971,-0.5199354679797282,-0.977828494733029,-1.1143081333072633,-1.2161542168555821,1.3097925335990015,-0.6876476278851535,-0.8455622541731853,-0.6505025600122242,-0.7915078946534371,-0.7168321884959237,0.3684795992839875,0.041350879457973826,-0.32752438972490466,-0.7274009772422972,-0.6252442893930844,-0.00620527441996102,1.3462577810639136
ag,0.221596581192595,-0.015704549578895773,0.5975022029122348,-0.11004413791188233,0.06998338750437354,-0.17197157160060797,0.20260147878313878,0.0368441176945088,-1.5368084551075623,0.2707708254122386,-0.46914399834068715,-0.19265217445416155,0.5873825502951868,1.7880944071428964,-0.7620075467795376,0.46136787387562667,-0.29311282157369517,-0.7274009772422972,-0.32519696315437313,0.0569757014923685,-1.1096037114788069
cl,-0.947033810149407,0.08577100154627691,-0.7392081043364086,-1.3276996695940781,-0.7861240712869878,-0.7806454564118993,-1.1311915898725249,-1.172299275146329,2.4578708829791553,-0.7294578288679257,0.15339388630536754,-0.6505025600122242,-1.048240949765133,0.06611471727661218,2.221717728319777,1.3914055043718578,-0.8781094801442564,-0.23464547652977333,-0.8159916754126308,-0.7749071480199702,0.24402073322977916
db,-0.8222647608508215,0.3394598793592095,-0.016069741398617905,-0.25406791047644245,-0.9012073690261542,0.04097121868199664,-0.3376691313052313,-1.1660342834735786,-0.9195164320375497,-0.22987952994557137,-0.5560097496866483,-0.4600692138066583,-0.23335343722018226,-0.24605703936581372,0.7215339445845836,-0.2853290050890895,-0.8350950199552445,-0.7274009772422972,-0.456019285424416,-0.9934080230501097,-0.5294789494608415
gr,-1.3867032643006278,-0.21865565182924204,-0.08619224931985822,-0.044578786746171925,-1.25674926448049,-1.3376968466092258,-1.5026276343082794,-1.848918375803378,0.5167850069342749,-0.7294578288679257,-0.4546663731163603,-0.6505025600122242,-1.1611615049632096,-0.7269022451618085,0.7738382920365239,0.5447045791172245,-0.9125210482954659,-0.7274009772422972,-0.7611307015574515,-0.03779576237612578,-1.863765902102162
il,-0.7030046075236532,-0.015704549578895773,-0.5814324615136179,-1.033105589348385,-0.4319856306831296,-0.4742609871766132,-0.9117066545241245,-1.8113284257668754,0.901107176561278,-0.7294578288679257,0.1389162610810407,1.38348764839616,-0.8282483143393983,-0.7369723018276931,2.4689746435471305,0.5913731340525192,-0.6888458553126042,0.011732273826488622,-0.19690668583149235,-0.5748340576309267,0.4567331459696998
ph,0.15414982781281072,-0.5230823052047612,0.8560789508718085,0.1910964774503818,-0.3234517889128587,0.8586169326517417,1.0805412201767401,-0.3515853660160194,-1.0245303988392338,-0.32207638339476125,-0.8745175046218391,-0.24937700098347904,0.41552736270289503,0.2196830814313538,-1.3587526017994005,-1.2320339766336403,0.3090896210724708,0.011732273826488622,0.651328371467818,-0.35370064193777334,-0.7228538701334966
tr,-1.0585517313005293,1.6079042684238725,-0.47186604288667994,-0.574848131188419,-0.9012073690261542,-1.2168307173928756,-1.0298908504809554,-0.4267652660890249,0.31472070299963617,-0.6479815397732928,-0.1795914938541501,-0.6505025600122242,-0.8003555875574032,-0.7092796459965102,0.6181139848500656,0.7847142902130261,-0.869506588106454,-0.23464547652977333,-0.8463762147785763,-0.5985269235980503,-1.148278695613338
if,1.8656298059598757,-1.8422644698320108,2.4075394386292506,4.217215574141515,-0.9241304649172891,1.9804134502244373,-0.4896202403925854,-0.4643552161255276,-0.23329862690795736,-0.7048005308524447,-2.9013850360275986,-0.6505025600122242,2.4110570147889567,3.1198594012061487,-1.3813385700172838,-0.48200362945926023,-1.4459003546392128,-1.466534228311083,-0.20661285812894714,2.9132823208622654,-1.9991283465730205
b,3.88322573322137,-1.690051143144251,4.077331658503785,0.5315163035120708,3.6693772606960304,0.9521827041395526,3.106556008008128,2.9375352621779696,0.17983260367444748,4.337080885095693,-2.771086409008657,1.7400437008661556,4.045480827675858,3.5000040403432964,-2.816141919437552,-3.562128255188714,4.808402156843111,2.475509777389108,0.18374407122521308,4.6691869430924235,-0.7228538701334966
dj,-0.32035967113061653,1.6079042684238725,0.29509888750188595,0.11908459116810176,0.9209448451773166,-0.5758927734478563,-0.11818419595683095,0.21226388453152154,-0.6300543028238105,0.540929047147074,-0.3967558722190529,-0.14403089457188942,-0.3065343547987498,0.934657104709168,0.19849047006518192,-1.0786944389891004,0.025194183824992552,-0.7274009772422972,-0.7805430461523611,-0.5695689763048992,-1.2256286638824
gj,-0.07379935413961698,1.2020020639231805,1.9955697045919636,-0.34571940210843605,-0.0638126415744949,-0.051105442384257835,0.42208641413153913,0.005519159330756523,-1.7132082191816247,-0.059422556708115734,-0.10720336773251582,-0.2007557211012069,0.44761899459185706,-0.3165474360270067,-0.8880134747319389,0.9947227874218525,-0.6716400712369994,-0.7274009772422972,-0.5754474054322294,0.025385213536203738,-0.2974290446536553
mh,-0.7073223908526018,2.2167575751749116,0.5186143815008395,0.6559004707269185,-0.2247421310959313,-1.4723372472249754,-0.2363683919136619,-0.25761049092476257,-0.29447287754218404,-0.21701485272010304,1.0220513997649787,-0.6505025600122242,-0.65849257930059,-0.7394898159941643,0.08556062897576565,0.16802267142520247,-0.38774463398952125,-0.23464547652977333,-0.4015803190604304,-0.36423080458982826,-1.2256286638824
ot,-0.8060358510971869,0.18724655267145005,0.1373232446790953,-0.41118475327414533,-0.6429716765382683,-0.6417859096017392,-1.0130073939156938,-0.7838697914358008,-0.2024988489469031,-0.6855035150142421,-0.10720336773251582,-0.6505025600122242,-0.7927075818268563,-0.7168321884959237,0.49448552723638883,0.6847102439231088,-0.8436979119930469,-0.7274009772422972,-0.9236035856670209,-0.5827316796199679,-0.4327914891245139
vl,-0.08362603343998291,-0.11718010070406891,-0.12125350328047838,-0.5290223853724222,1.3415134820371164,-0.8579551057977167,-0.5740375232188932,-0.25761049092476257,-0.6890604776516485,-0.386399769522103,1.398469655597477,0.5609776637210565,-0.06914625535843748,-0.41976551685232494,-0.6835510256016274,-0.48867056587858804,-0.4565677702919402,0.011732273826488622,1.6540181705440178,0.22019322259921975,-0.9355662828734173
ar,0.85928851215422,-0.9289845097054533,-0.2439678921426489,1.6706134137954158,-0.04229300053383803,-0.2981736798275363,-0.06753382626104626,-0.332790390997768,0.6663649292044328,0.9826162985548207,0.21130438720267497,0.22873225119219692,0.7346441508323863,0.05352714644425621,1.3836594339193717,-0.6053419532168249,1.2812164213441386,1.9827542766765842,-0.10026697034813808,0.19650035663209617,2.2551199082253928
cs,-0.24874402350219213,0.5424109816095558,-0.7874173285322613,0.7671915677086257,-0.19152703296796042,0.07844716429117295,0.25325184847892346,0.2561188262407747,2.150013653263874,-0.23952803786467264,0.7904093961757491,0.08286841154538052,-0.09793874752049685,-0.4373881160176232,0.5265813768091703,1.314735735549588,-0.3103186056492999,-0.23464547652977333,1.0142548138943885,-0.532713407022707,-0.7808663463352932
hd,0.9228641494459814,0.8975754105476615,-0.13440147351571094,0.06671231023553413,0.1031984856323444,0.4810033482519945,2.380567375701881,0.9452679102433248,-0.9499284617950966,-0.4228496883275966,-0.2519796199757844,0.11528259813356194,0.23272502965315361,-0.14032144437402436,-1.2767298751134035,-0.9686899880701912,-0.09524630470424064,0.5044877745390125,-0.2298232701445999,0.13331938071976665,1.6556576541401617
tm,1.6114761458731388,-1.690051143144251,0.8341656671464208,1.559322316813711,0.6561596967205348,0.26619916994244397,0.7597555454367705,1.5153821524636162,0.0945757117676352,1.2495583509832888,-0.4257111226677066,0.47589042392708025,1.6219627764725177,-0.054725962714004386,0.16639462049240045,-0.23866045015379472,1.35864244968436,1.4899987759640603,0.22721084281816284,0.9573046082430641,-0.6455039018644345
